"country","genre","total_titles","genre_present","coverage_pct","diversity_rank"
India,Anime Features,0,0,52.38,6
India,Anime Series,0,0,52.38,6
India,British TV Shows,2,1,52.38,6
India,Children & Family Movies,21,1,52.38,6
India,Classic & Cult TV,0,0,52.38,6
India,Classic Movies,9,1,52.38,6
India,Comedies,271,1,52.38,6
India,Crime TV Shows,9,1,52.38,6
India,Cult Movies,1,1,52.38,6
India,Documentaries,20,1,52.38,6
India,Docuseries,7,1,52.38,6
India,Dramas,408,1,52.38,6
India,Faith & Spirituality,1,1,52.38,6
India,Horror Movies,30,1,52.38,6
India,Independent Movies,5,1,52.38,6
India,International Movies,47,1,52.38,6
India,International TV Shows,48,1,52.38,6
India,Kids' TV,11,1,52.38,6
India,Korean TV Shows,0,0,52.38,6
India,LGBTQ Movies,0,0,52.38,6
India,Movies,0,0,52.38,6
India,Music & Musicals,1,1,52.38,6
India,Reality TV,1,1,52.38,6
India,Romantic Movies,0,0,52.38,6
India,Romantic TV Shows,1,1,52.38,6
India,Sci-Fi & Fantasy,1,1,52.38,6
India,Science & Nature TV,0,0,52.38,6
India,Spanish-Language TV Shows,0,0,52.38,6
India,Sports Movies,0,0,52.38,6
India,Stand-Up Comedy,6,1,52.38,6
India,Stand-Up Comedy & Talk Shows,0,0,52.38,6
India,Teen TV Shows,0,0,52.38,6
India,Thrillers,0,0,52.38,6
India,TV Action & Adventure,0,0,52.38,6
India,TV Comedies,0,0,52.38,6
India,TV Dramas,0,0,52.38,6
India,TV Horror,0,0,52.38,6
India,TV Mysteries,0,0,52.38,6
India,TV Sci-Fi & Fantasy,0,0,52.38,6
India,TV Shows,3,1,52.38,6
India,TV Thrillers,0,0,52.38,6
Japan,Action & Adventure,49,1,52.38,6
Japan,Anime Features,19,1,52.38,6
Japan,Anime Series,136,1,52.38,6
Japan,British TV Shows,0,0,52.38,6
Japan,Children & Family Movies,0,0,52.38,6
Japan,Classic & Cult TV,0,0,52.38,6
Japan,Classic Movies,0,0,52.38,6
Japan,Comedies,2,1,52.38,6
Japan,Crime TV Shows,4,1,52.38,6
Japan,Cult Movies,0,0,52.38,6
Japan,Documentaries,2,1,52.38,6
Japan,Docuseries,1,1,52.38,6
Japan,Dramas,11,1,52.38,6
Japan,Faith & Spirituality,0,0,52.38,6
Japan,Horror Movies,3,1,52.38,6
Japan,Independent Movies,3,1,52.38,6
Japan,International Movies,7,1,52.38,6
Japan,International TV Shows,35,1,52.38,6
Japan,Kids' TV,2,1,52.38,6
Japan,Korean TV Shows,0,0,52.38,6
Japan,LGBTQ Movies,0,0,52.38,6
Japan,Movies,1,1,52.38,6
Japan,Music & Musicals,1,1,52.38,6
Japan,Reality TV,2,1,52.38,6
Japan,Romantic Movies,3,1,52.38,6
Japan,Romantic TV Shows,0,0,52.38,6
Japan,Sci-Fi & Fantasy,1,1,52.38,6
Japan,Science & Nature TV,0,0,52.38,6
Japan,Spanish-Language TV Shows,0,0,52.38,6
Japan,Sports Movies,0,0,52.38,6
Japan,Stand-Up Comedy,0,0,52.38,6
Japan,Stand-Up Comedy & Talk Shows,0,0,52.38,6
Japan,Teen TV Shows,0,0,52.38,6
Japan,Thrillers,0,0,52.38,6
Japan,TV Action & Adventure,0,0,52.38,6
Japan,TV Comedies,1,1,52.38,6
Japan,TV Dramas,1,1,52.38,6
Japan,TV Horror,1,1,52.38,6
Japan,TV Mysteries,0,0,52.38,6
Japan,TV Sci-Fi & Fantasy,0,0,52.38,6
Japan,TV Shows,1,1,52.38,6
Japan,TV Thrillers,0,0,52.38,6
France,Action & Adventure,24,1,50.00,7
France,Anime Features,0,0,50.00,7
France,Anime Series,0,0,50.00,7
France,British TV Shows,0,0,50.00,7
France,Children & Family Movies,10,1,50.00,7
France,Classic & Cult TV,0,0,50.00,7
France,Classic Movies,3,1,50.00,7
France,Comedies,32,1,50.00,7
France,Crime TV Shows,19,1,50.00,7
France,Cult Movies,1,1,50.00,7
France,Documentaries,22,1,50.00,7
France,Docuseries,2,1,50.00,7
France,Dramas,58,1,50.00,7
France,Faith & Spirituality,0,0,50.00,7
France,Horror Movies,3,1,50.00,7
France,Independent Movies,31,1,50.00,7
France,International Movies,46,1,50.00,7
France,International TV Shows,22,1,50.00,7
France,Kids' TV,25,1,50.00,7
France,Korean TV Shows,0,0,50.00,7
France,LGBTQ Movies,0,0,50.00,7
France,Movies,1,1,50.00,7
France,Music & Musicals,0,0,50.00,7
France,Reality TV,0,0,50.00,7
France,Romantic Movies,2,1,50.00,7
France,Romantic TV Shows,0,0,50.00,7
France,Sci-Fi & Fantasy,3,1,50.00,7
France,Science & Nature TV,0,0,50.00,7
France,Spanish-Language TV Shows,0,0,50.00,7
France,Sports Movies,2,1,50.00,7
France,Stand-Up Comedy,5,1,50.00,7
France,Stand-Up Comedy & Talk Shows,0,0,50.00,7
France,Teen TV Shows,0,0,50.00,7
France,Thrillers,11,1,50.00,7
France,TV Action & Adventure,0,0,50.00,7
France,TV Comedies,4,1,50.00,7
France,TV Dramas,0,0,50.00,7
France,TV Horror,0,0,50.00,7
France,TV Mysteries,0,0,50.00,7
France,TV Sci-Fi & Fantasy,0,0,50.00,7
France,TV Shows,0,0,50.00,7
France,TV Thrillers,0,0,50.00,7
Mexico,Action & Adventure,3,1,50.00,7
Mexico,Anime Features,0,0,50.00,7
Mexico,Anime Series,0,0,50.00,7
Mexico,British TV Shows,0,0,50.00,7
Mexico,Children & Family Movies,3,1,50.00,7
Mexico,Classic & Cult TV,2,1,50.00,7
Mexico,Classic Movies,1,1,50.00,7
Mexico,Comedies,18,1,50.00,7
Mexico,Crime TV Shows,27,1,50.00,7
Mexico,Cult Movies,0,0,50.00,7
Mexico,Documentaries,12,1,50.00,7
Mexico,Docuseries,1,1,50.00,7
Mexico,Dramas,28,1,50.00,7
Mexico,Faith & Spirituality,0,0,50.00,7
Mexico,Horror Movies,6,1,50.00,7
Mexico,Independent Movies,0,0,50.00,7
Mexico,International Movies,8,1,50.00,7
Mexico,International TV Shows,17,1,50.00,7
Mexico,Kids' TV,2,1,50.00,7
Mexico,Korean TV Shows,0,0,50.00,7
Mexico,LGBTQ Movies,0,0,50.00,7
Mexico,Movies,1,1,50.00,7
Mexico,Music & Musicals,0,0,50.00,7
Mexico,Reality TV,1,1,50.00,7
Mexico,Romantic Movies,0,0,50.00,7
Mexico,Romantic TV Shows,0,0,50.00,7
Mexico,Sci-Fi & Fantasy,2,1,50.00,7
Mexico,Science & Nature TV,0,0,50.00,7
Mexico,Spanish-Language TV Shows,1,1,50.00,7
Mexico,Sports Movies,1,1,50.00,7
Mexico,Stand-Up Comedy,18,1,50.00,7
Mexico,Stand-Up Comedy & Talk Shows,0,0,50.00,7
Mexico,Teen TV Shows,0,0,50.00,7
Mexico,Thrillers,0,0,50.00,7
Mexico,TV Action & Adventure,2,1,50.00,7
Mexico,TV Comedies,0,0,50.00,7
Mexico,TV Dramas,3,1,50.00,7
Mexico,TV Horror,0,0,50.00,7
Mexico,TV Mysteries,0,0,50.00,7
Mexico,TV Sci-Fi & Fantasy,0,0,50.00,7
Mexico,TV Shows,0,0,50.00,7
Mexico,TV Thrillers,0,0,50.00,7
China,Action & Adventure,31,1,47.62,8
China,Anime Features,1,1,47.62,8
China,Anime Series,2,1,47.62,8
China,British TV Shows,2,1,47.62,8
China,Children & Family Movies,8,1,47.62,8
China,Classic & Cult TV,0,0,47.62,8
China,Classic Movies,0,0,47.62,8
China,Comedies,16,1,47.62,8
China,Crime TV Shows,4,1,47.62,8
China,Cult Movies,0,0,47.62,8
China,Documentaries,2,1,47.62,8
China,Docuseries,1,1,47.62,8
China,Dramas,14,1,47.62,8
China,Faith & Spirituality,0,0,47.62,8
China,Horror Movies,0,0,47.62,8
China,Independent Movies,1,1,47.62,8
China,International Movies,17,1,47.62,8
China,International TV Shows,31,1,47.62,8
China,Kids' TV,2,1,47.62,8
China,Korean TV Shows,0,0,47.62,8
China,LGBTQ Movies,0,0,47.62,8
China,Movies,0,0,47.62,8
China,Music & Musicals,0,0,47.62,8
China,Reality TV,1,1,47.62,8
China,Romantic Movies,0,0,47.62,8
China,Romantic TV Shows,1,1,47.62,8
China,Sci-Fi & Fantasy,3,1,47.62,8
China,Science & Nature TV,0,0,47.62,8
China,Spanish-Language TV Shows,0,0,47.62,8
China,Sports Movies,1,1,47.62,8
China,Stand-Up Comedy,0,0,47.62,8
China,Stand-Up Comedy & Talk Shows,0,0,47.62,8
China,Teen TV Shows,0,0,47.62,8
China,Thrillers,3,1,47.62,8
China,TV Action & Adventure,0,0,47.62,8
China,TV Comedies,0,0,47.62,8
China,TV Dramas,1,1,47.62,8
China,TV Horror,0,0,47.62,8
China,TV Mysteries,0,0,47.62,8
China,TV Sci-Fi & Fantasy,0,0,47.62,8
China,TV Shows,0,0,47.62,8
China,TV Thrillers,0,0,47.62,8
Italy,Action & Adventure,3,1,40.48,9
Italy,Anime Features,0,0,40.48,9
Italy,Anime Series,0,0,40.48,9
Italy,British TV Shows,1,1,40.48,9
Italy,Children & Family Movies,0,0,40.48,9
Italy,Classic & Cult TV,0,0,40.48,9
Italy,Classic Movies,3,1,40.48,9
Italy,Comedies,8,1,40.48,9
Italy,Crime TV Shows,4,1,40.48,9
Italy,Cult Movies,0,0,40.48,9
Italy,Documentaries,9,1,40.48,9
Italy,Docuseries,0,0,40.48,9
Italy,Dramas,21,1,40.48,9
Italy,Faith & Spirituality,0,0,40.48,9
Italy,Horror Movies,2,1,40.48,9
Italy,Independent Movies,1,1,40.48,9
Italy,International Movies,7,1,40.48,9
Italy,International TV Shows,7,1,40.48,9
Italy,Kids' TV,6,1,40.48,9
Italy,Korean TV Shows,0,0,40.48,9
Italy,LGBTQ Movies,0,0,40.48,9
Italy,Movies,0,0,40.48,9
Italy,Music & Musicals,1,1,40.48,9
Italy,Reality TV,0,0,40.48,9
Italy,Romantic Movies,1,1,40.48,9
Italy,Romantic TV Shows,0,0,40.48,9
Italy,Sci-Fi & Fantasy,0,0,40.48,9
Italy,Science & Nature TV,0,0,40.48,9
Italy,Spanish-Language TV Shows,0,0,40.48,9
Italy,Sports Movies,0,0,40.48,9
Italy,Stand-Up Comedy,4,1,40.48,9
Italy,Stand-Up Comedy & Talk Shows,0,0,40.48,9
Italy,Teen TV Shows,0,0,40.48,9
Italy,Thrillers,2,1,40.48,9
Italy,TV Action & Adventure,0,0,40.48,9
Italy,TV Comedies,0,0,40.48,9
Italy,TV Dramas,2,1,40.48,9
Italy,TV Horror,0,0,40.48,9
Italy,TV Mysteries,0,0,40.48,9
Italy,TV Sci-Fi & Fantasy,0,0,40.48,9
Italy,TV Shows,0,0,40.48,9
Italy,TV Thrillers,0,0,40.48,9
South Korea,Action & Adventure,16,1,38.10,10
South Korea,Anime Features,0,0,38.10,10
South Korea,Anime Series,0,0,38.10,10
South Korea,British TV Shows,0,0,38.10,10
South Korea,Children & Family Movies,3,1,38.10,10
South Korea,Classic & Cult TV,0,0,38.10,10
South Korea,Classic Movies,0,0,38.10,10
South Korea,Comedies,8,1,38.10,10
South Korea,Crime TV Shows,24,1,38.10,10
South Korea,Cult Movies,0,0,38.10,10
South Korea,Documentaries,1,1,38.10,10
South Korea,Docuseries,0,0,38.10,10
South Korea,Dramas,13,1,38.10,10
South Korea,Faith & Spirituality,0,0,38.10,10
South Korea,Horror Movies,2,1,38.10,10
South Korea,Independent Movies,1,1,38.10,10
South Korea,International Movies,8,1,38.10,10
South Korea,International TV Shows,127,1,38.10,10
South Korea,Kids' TV,13,1,38.10,10
South Korea,Korean TV Shows,1,1,38.10,10
South Korea,LGBTQ Movies,0,0,38.10,10
South Korea,Movies,0,0,38.10,10
South Korea,Music & Musicals,0,0,38.10,10
South Korea,Reality TV,0,0,38.10,10
South Korea,Romantic Movies,0,0,38.10,10
South Korea,Romantic TV Shows,0,0,38.10,10
South Korea,Sci-Fi & Fantasy,0,0,38.10,10
South Korea,Science & Nature TV,0,0,38.10,10
South Korea,Spanish-Language TV Shows,0,0,38.10,10
South Korea,Sports Movies,0,0,38.10,10
South Korea,Stand-Up Comedy,2,1,38.10,10
South Korea,Stand-Up Comedy & Talk Shows,0,0,38.10,10
South Korea,Teen TV Shows,0,0,38.10,10
South Korea,Thrillers,0,0,38.10,10
South Korea,TV Action & Adventure,1,1,38.10,10
South Korea,TV Comedies,1,1,38.10,10
South Korea,TV Dramas,1,1,38.10,10
South Korea,TV Horror,0,0,38.10,10
South Korea,TV Mysteries,0,0,38.10,10
South Korea,TV Sci-Fi & Fantasy,0,0,38.10,10
South Korea,TV Shows,0,0,38.10,10
South Korea,TV Thrillers,0,0,38.10,10
Argentina,Action & Adventure,2,1,35.71,11
Argentina,Anime Features,0,0,35.71,11
Argentina,Anime Series,0,0,35.71,11
Argentina,British TV Shows,0,0,35.71,11
Argentina,Children & Family Movies,2,1,35.71,11
Argentina,Classic & Cult TV,1,1,35.71,11
Argentina,Classic Movies,1,1,35.71,11
Argentina,Comedies,9,1,35.71,11
Argentina,Crime TV Shows,7,1,35.71,11
Argentina,Cult Movies,0,0,35.71,11
Argentina,Documentaries,8,1,35.71,11
Argentina,Docuseries,1,1,35.71,11
Argentina,Dramas,27,1,35.71,11
Argentina,Faith & Spirituality,0,0,35.71,11
Argentina,Horror Movies,2,1,35.71,11
Argentina,Independent Movies,2,1,35.71,11
Argentina,International Movies,6,1,35.71,11
Argentina,International TV Shows,8,1,35.71,11
Argentina,Kids' TV,3,1,35.71,11
Argentina,Korean TV Shows,0,0,35.71,11
Argentina,LGBTQ Movies,0,0,35.71,11
Argentina,Movies,0,0,35.71,11
Argentina,Music & Musicals,0,0,35.71,11
Argentina,Reality TV,0,0,35.71,11
Argentina,Romantic Movies,0,0,35.71,11
Argentina,Romantic TV Shows,0,0,35.71,11
Argentina,Sci-Fi & Fantasy,0,0,35.71,11
Argentina,Science & Nature TV,0,0,35.71,11
Argentina,Spanish-Language TV Shows,0,0,35.71,11
Argentina,Sports Movies,0,0,35.71,11
Argentina,Stand-Up Comedy,8,1,35.71,11
Argentina,Stand-Up Comedy & Talk Shows,0,0,35.71,11
Argentina,Teen TV Shows,0,0,35.71,11
Argentina,Thrillers,0,0,35.71,11
Argentina,TV Action & Adventure,0,0,35.71,11
Argentina,TV Comedies,0,0,35.71,11
Argentina,TV Dramas,0,0,35.71,11
Argentina,TV Horror,0,0,35.71,11
Argentina,TV Mysteries,0,0,35.71,11
Argentina,TV Sci-Fi & Fantasy,0,0,35.71,11
Argentina,TV Shows,0,0,35.71,11
Argentina,TV Thrillers,0,0,35.71,11
Czech Republic,Action & Adventure,1,1,33.33,12
Czech Republic,Anime Features,0,0,33.33,12
Czech Republic,Anime Series,0,0,33.33,12
Czech Republic,British TV Shows,0,0,33.33,12
Czech Republic,Children & Family Movies,0,0,33.33,12
Czech Republic,Classic & Cult TV,0,0,33.33,12
Czech Republic,Classic Movies,0,0,33.33,12
Czech Republic,Comedies,1,1,33.33,12
Czech Republic,Crime TV Shows,0,0,33.33,12
Czech Republic,Cult Movies,1,1,33.33,12
Czech Republic,Documentaries,1,1,33.33,12
